ZCTA5CE10,city,latitude,longitude,Area,Affect_area,pct,pop,household,affect
90661,Pico Rivera,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90662,Pico Rivera,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90665,Pico Rivera,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90670,Santa Fe Springs,33.933551,-118.06821,5442.716493708277,None Affected,None Affect,14866,4616,No
90671,Santa Fe Springs,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90680,Stanton,33.803565,-117.99596,1725.1257474911245,None Affected,None Affect,29945,8848,No
90701,Artesia,33.867215,-118.08062,1049.9340143028114,None Affected,None Affect,16591,4715,No
90702,Artesia,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90703,Cerritos,33.868314,-118.06754,5690.298674875962,None Affected,None Affect,49399,15946,No
90704,Avalon,33.368642,-118.40835,188211.70920019833,None Affected,None Affect,4090,2481,No
90706,Bellflower,33.888165,-118.1276,3943.3057398013298,None Affected,None Affect,76615,24896,No
90707,Bellflower,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90710,Harbor City,33.797317,-118.30065,1499.7156677990984,None Affected,None Affect,25457,9061,No
90711,Lakewood,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90712,Lakewood,33.851965,-118.1468,2758.634304594751,None Affected,None Affect,31499,11155,No
90713,Lakewood,33.847265,-118.11337,2171.149366817116,None Affected,None Affect,27925,9711,No
90714,Lakewood,33.851215,-118.1339,0,None Affected,None Affect,NA,NA,No
90715,Lakewood,33.840965,-118.07775,1111.432458373852,None Affected,None Affect,20388,6406,No
90716,Hawaiian Gardens,33.828565,-118.07364,607.67952507979,None Affected,None Affect,14184,3652,No
90717,Lomita,33.793384,-118.31611,1270.430488778062,None Affected,None Affect,21318,8887,No
90720,Los Alamitos,33.794028,-118.07218,3959.3126776233075,None Affected,None Affect,21751,8010,No
90721,Los Alamitos,33.640302,-117.769442,0,None Affected,None Affect,NA,NA,No
90723,Paramount,33.899915,-118.16231,3051.420334287162,None Affected,None Affect,54099,14572,No
90731,San Pedro,33.732368,-118.28905,10011.50409940844,None Affected,None Affect,59662,23914,No
90732,San Pedro,33.736718,-118.31123,2427.276547646857,None Affected,None Affect,21115,9250,No
90733,San Pedro,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90734,San Pedro,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90740,Seal Beach,33.759283,-118.08239,6101.584396128391,None Affected,None Affect,23729,14303,No
90742,Sunset Beach,33.718167,-118.07179,340.59442120518327,None Affected,None Affect,831,556,No
90743,Surfside,33.72975,-118.0863,332.5317160622646,None Affected,None Affect,456,256,No
90744,Wilmington,33.784018,-118.25897,6076.194575119588,None Affected,None Affect,53815,14684,No
90745,Carson,33.823765,-118.2668,5351.987459701017,None Affected,None Affect,57251,15680,No
90746,Carson,33.857416,-118.25633,3767.165658074872,None Affected,None Affect,25990,8271,No
90747,Carson,33.867138,-118.253825,2.87353203330926,None Affected,None Affect,0,0,No
90748,Wilmington,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90749,Carson,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90755,Long Beach,33.801783,-118.168691,1394.5462276684245,None Affected,None Affect,11074,4404,No
90774,Los Angeles,33.783038,-118.238683,0,None Affected,None Affect,NA,NA,No
90801,Long Beach,33.804309,-118.200957,0,None Affected,None Affect,NA,NA,No
90802,Long Beach,33.769018,-118.19225,9562.778320173073,None Affected,None Affect,39347,23071,No
90803,Long Beach,33.761117,-118.12986,5247.029721662146,None Affected,None Affect,32031,18682,No
90804,Long Beach,33.783467,-118.15182,1350.3289448739542,None Affected,None Affect,40311,15792,No
90805,Long Beach,33.865916,-118.18362,4819.923779293608,None Affected,None Affect,93524,27646,No
90806,Long Beach,33.801767,-118.1858,2275.5759390963967,None Affected,None Affect,42399,13072,No
90807,Long Beach,33.828366,-118.18235,3762.642389878727,None Affected,None Affect,31481,13256,No
90808,Long Beach,33.823316,-118.11329,4456.161123659429,None Affected,None Affect,38232,14567,No
90809,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90810,Long Beach,33.816217,-118.21495,4417.93405680301,None Affected,None Affect,36735,9709,No
90813,Long Beach,33.781011,-118.19197,2112.5671552054528,None Affected,None Affect,58911,17896,No
90814,Long Beach,33.771167,-118.14482,868.0954329066707,None Affected,None Affect,19131,9808,No
90815,Long Beach,33.795049,-118.11824,4673.467693074441,None Affected,None Affect,39733,15409,No
90822,Long Beach,33.776094,-118.11848,103.44402595916078,None Affected,None Affect,117,4,No
90831,Long Beach,33.767817,-118.199401,26.628609679099423,None Affected,None Affect,0,0,No
90832,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90833,Long Beach,33.767817,-118.199401,0,None Affected,None Affect,NA,NA,No
90834,Long Beach,33.767817,-118.199401,0,None Affected,None Affect,NA,NA,No
90835,Long Beach,33.767817,-118.199401,0,None Affected,None Affect,NA,NA,No
90840,Long Beach,33.784266,-118.115698,0,None Affected,None Affect,NA,NA,No
90842,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90844,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90845,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90846,Long Beach,33.824918,-118.150352,0,None Affected,None Affect,NA,NA,No
90847,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90848,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90853,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90879,Rancho Palos Verdes,33.769667,-118.313405,0,None Affected,None Affect,NA,NA,No
90888,Long Beach,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
90895,Carson,33.83,-118.21,0,None Affected,None Affect,NA,NA,No
90899,Long Beach,33.77,-118.19,0,None Affected,None Affect,NA,NA,No
91001,Altadena,34.192102,-118.14206,5303.207112579819,None Affected,None Affect,36126,13285,No
91003,Altadena,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91006,Arcadia,34.134057,-118.02662,4118.711121813034,None Affected,None Affect,31715,11142,No
91007,Arcadia,34.126957,-118.05216,3564.132566679242,None Affected,None Affect,34095,12750,No
91008,Duarte,34.14,-117.96,1292.44498902633,None Affected,None Affect,1391,640,No
91009,Duarte,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91010,Duarte,34.137707,-117.96569,4540.936763097722,None Affected,None Affect,26074,8256,No
91011,La Canada Flintridge,34.211171,-118.19776,7594.642767558378,None Affected,None Affect,20280,7099,No
91012,La Canada Flintridge,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91016,Monrovia,34.140806,-118.00184,5492.801180783699,None Affected,None Affect,40598,15781,No
91017,Monrovia,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91020,Montrose,34.211494,-118.23104,484.7396316394961,None Affected,None Affect,8415,3586,No
91021,Montrose,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91023,Mount Wilson,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91024,Sierra Madre,34.164806,-118.0509,1892.7817396867206,None Affected,None Affect,10917,5113,No
91025,Sierra Madre,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91030,South Pasadena,34.112958,-118.15577,2186.4486968094134,None Affected,None Affect,25616,11116,No
91031,South Pasadena,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91040,Sunland,34.261221,-118.31887,5257.875829243094,None Affected,None Affect,20372,7732,No
91041,Sunland,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91042,Tujunga,34.256952,-118.28453,31960.03758177144,None Affected,None Affect,27585,10534,No
91043,Tujunga,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
91046,Verdugo City,33.786594,-118.298662,6.054113291228536,None Affected,None Affect,156,118,No
91050,Pasadena,33.786594,-118.298662,0,None Affected,None Affect,NA,NA,No
